X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
1264494.00012752,186917.999977186,2581,1123,500877,660,West Seattle Montessori School & Academy,West Seattle Montessori,11215 15th Ave SW,98146
1270255.77370894,222657.838602349,2582,352216,0000000,350,E Smith Mercantile,E Smith Mercantile,208 1ST AVE S,98104
1301891.62415102,249845.341641933,2583,350463,0000000,350,Aura,Aura,116 CENTRAL WAY,98033
1280499.24337944,265423.590341017,2584,350498,0000000,350,Back Door Pub,Back Door Pub,12330 LAKE CITY WAY NE,98125
1279005.34249586,180697.023902103,2585,10000044,735784,330,HealthPoint Tukwila,HealthPoint Tukwila,13030 Military Rd S,98168
1283039.62543778,162225.152709439,2586,10000045,397165,330,HealthPoint Tyee Campus,HealthPoint Tyee Campus,4424 S 188th St,98188
1262279.04950494,245154.597414523,2587,350823,0000000,350,Bevmo!,Bevmo,850 NW 45TH ST,98107
1266953.74389569,172631.951449603,2588,351398,0000000,350,Cc'S Lounge,C.C.'S Lounge,635 SW 152ND ST,98166
1275705.99968511,244140.851082444,2589,351400,0000000,350,Cedar'S Restaurant,Cedar'S Restaurant,1319 NE 43RD ST,98105
1341800.21329693,150596.488302767,2590,351401,0000000,350,"Cedar Grange; #534","Cedar Grange; #534",22531 SE 218TH ST,98038
1331622.50202511,133517.0907031,2591,351403,0000000,350,Cedar Heights Junior Hs,Cedar Heights Junior Hs,19640 SE 272ND ST,98042
1314667.57268044,227555.179529443,2592,351404,0000000,350,Cedar Park Christian School,Cedar Park Christian School,625 140TH AVE NE,98005
1307042.91273294,275140.980026931,2593,351405,0000000,350,Cedar Park Christian School Kitchen,Cedar Park Christian School,16300 112TH AVE NE,98011
1300452.23792219,178289.576289192,2594,351407,0000000,350,Cedar River Cafe,Cedar River Cafe,219 BURNETT AVE S,98057
1273599.09543435,224726.913860515,2595,351420,0000000,350,Cedars On Broadway,Cedars On Broadway,500 BROADWAY AVE,98122
1275466.1461622,245996.225324437,2596,351421,0000000,350,Cedars On Brooklyn,Cedars Brooklyn Deli,4759 BROOKLYN AVE NE,98105
1271331.95725212,117426.444078684,2597,351424,0000000,350,Celebration Pk Complex Bldg B,Celebration Pk Complex Bldg B,1095 S 324TH ST,98003
1268772.62706894,224246.060819611,2598,351425,0000000,350,Celebrations,Argosy,1101 ALASKAN WAY 201,98101
1263646.31645544,250381.047263443,2599,351426,0000000,350,Celesto Espresso @ 1010 Valley St Seattle 98109,Celesto Espresso (Kc239),500 NW 65TH ST,98117
1272283.11348628,187119.702985853,2600,351429,0000000,350,Cemitas Poblanas,Cemitas Poblanas,805 S 112TH ST,98168
1302386.24684945,227469.620645434,2601,351431,0000000,350,Cento & Fanti,Cento & Fanti,276 BELLEVUE SQUARE,98004
1280224.87778644,221363.074459597,2602,351432,0000000,350,Central Area Senior Nutrition,Central Area Senior Nutrition,500 30TH AVE S,98144
1294362.83376244,137068.788980275,2603,351434,0000000,350,Central Avenue Pub & Eatery,Central Avenue Pub & Eatery,1404 S CENTRAL AVE,98032
1294981.37484819,215712.640550524,2604,660009,192484,66,Station 91,91,3030 78th Ave SE,98040
1297820.00007644,209878.000973105,2605,549,191816,390,Mercer Island Library,Mercer Island Lib,4400 88th Ave SE,98040
1290226.23475219,141264.814708933,2606,350401,0000000,350,Asian Gardens Buffet,Asian Gardens Buffet,406 WASHINGTON AVE S,98032
1344395.40790969,226459.713872597,2607,2076,379110,530,Bartell Drugs-Sammamish Hghlds,Bartell Drugs-Sammamish Hghlds,526 228th Ave NE,98074
1317023.70773195,232889.85652411,2608,350324,0000000,350,Apna Bazar,Apna Bazar,2245 148TH AVE NE,98007
1267524.62333135,227429.794609606,2609,351200,0000000,350,Cafe Belltown,Cafe Belltown,2219 2ND AVE,98121
1290296.97115928,165759.992096439,2610,351813,0000000,350,Costco Deli #006 Food Court,Costco Wholesale #06,400 COSTCO DR,98188
1327044.87994677,134752.132852435,2611,568,0000000,600,Jenkins Creek Park,Jenkins Creek Park,SE 267th St,98042
1343741.00009778,194419.000067025,2612,6600688,996972,664,Gibson Ek,Gibson Ek,379 1st Pl SE,98027
1325259.8949997,246904.305201188,2613,350647,0000000,350,Bartell Drugs Store #52,Bartell Drugs Store #52,7370 170TH AVE NE,98052
1283793.74499252,234879.34335877,2614,350798,0000000,350,Bert'S Markets Inc,Bert'S Markets Inc,1801 41ST AVE E,98112
1265671.25531894,254727.081878439,2615,350907,0000000,350,Bleacher'S Pub,Bleacher'S Pub,8118 GREENWOOD AVE N,98103
1376414.25955428,253091.636986598,2616,351015,0000000,350,"Bors Hede Inne; The","Bors Hede Inne; The",10320 KELLY RD NE,98014
1264963.22655128,241729.582611024,2617,351561,0000000,350,Chillies Paste Restaurant,Chillies Paste Restaurant,119 N 36TH ST,98103
1274213.38849711,112531.698290765,2618,351618,0000000,350,Christian Faith Center - Cafe,Christian Faith Center,33645 20TH AVE S,98003
1273894.25462094,118413.13272211,2619,350331,0000000,350,Applebee'S Restaurant,Applebee'S Restaurant,1801 S 320TH ST,98003
1302082.00008261,181370.99991636,2620,6600372,12188,665,Transportation/Maintenance,Transportation/Maintenance,420 Park Ave N,98057
1274352.61000344,238082.326126024,2621,6007121,0000000,600,Bagley Viewpoint,Bagley Viewpoint,2548 Delmar Dr E,98102
1340989.5308632,195601.932084352,2622,351,3753,120,Issaquah Cemetery,Issaquah Cemetery,W Sunset Way,98027
1355461.44187994,64279.9631015211,2623,6002820,0000000,600,Pinnacle Peak Park,Pinnacle Peak Park,SE 276th and 472nd SE,98022
1349625.38235785,115043.947859436,2624,2395,637926,64,Black Diamond Post Office,Black Diamond Post Office,25228 Baker St,98010
1288845.54263169,99836.9585884362,2625,2432,728190,64,Pacific Post Office,Pacific Post Office,111 3rd Ave SE,98047
1270059.35513853,225263.640149266,2626,1592,834122,60,Financial Center,Financial Center,1215 4th Ave,98101
1259652.05705552,186635.810909018,2627,6002802,0000000,600,Seola Park,Seola Park,E Pike St and 34th Ave E,00000
1271367.43946461,232675.190614849,2628,2123,759903,330,Fred Hutchinson Cancer Research Center,Fred Hutchinson Center,1100 Fairview Av N,98109
1309681.89859669,260547.666693941,2629,350367,0000000,350,Aria Food & Bakery,Aria Food & Bakery,12033 124TH AVE NE,98034
1270735.49683085,222869.160030097,2630,352165,0000000,350,Double Header,Double Header,407 2ND AVE EXT S,98104
1302533.69570152,165418.322176099,2631,352168,0000000,350,Double Wired Espresso,Double Wired Espresso,10622 SE CARR RD #C,98055
1278583.44045253,162180.892955437,2632,352169,0000000,350,Doubletree Hotel - Maxi'S,Doubletree Hotel Seattle,18740 PACIFIC HWY S,98188
1278583.44045253,162180.892955437,2633,352171,0000000,350,Doubletree Seattle - Seaports,Doubletree Hotel Seattle,18740 PACIFIC HWY S,98188
1326471.53529294,254669.861848518,2634,352173,0000000,350,Dow Baseball Club,Dow Baseball Club,17535 NE 104TH ST,98052
1270063.21175811,222629.004014358,2635,352174,0000000,350,Down Home Catering,Down Home Catering,211 1ST AVE S,98032
1268506.1440061,228954.805667192,2636,352176,0000000,350,Downtown Spirits,Downtown Spirits,2300 7TH AVE,98121
1327010.73500194,116910.536974028,2637,352177,0000000,350,Draft Choice,Draft Choice,32201 SE KENT BLACK DIAMOND RD,98092
1270277.97609235,220061.995368853,2638,352178,0000000,350,Dragon'S Kettle Korn  @ 901 Occidental S,Dragon'S Kettle Korn,1021 OCCIDENTAL AVE S,98134
1310683.19252586,212401.917513192,2639,352183,0000000,350,Dream Espresso,Dream Espresso,4002 FACTORIA BL SE,98006
1317254.9484112,225371.089081347,2640,350812,0000000,350,Best Wok,Best Wok,19 148TH AVE NE,98007
1278901.42866169,219453.746257275,2641,351313,0000000,350,Campfire,Campfire,2608 S JUDKINS ST,98144
1270212.1445311,218554.039395273,2642,352184,0000000,350,Dream Girls,Dream Girls,1530 1ST AVE S,98134
1277162.4911947,245015.860159189,2643,351314,0000000,350,Campus Christian Ministry,Campus Christian Ministry,4525 19TH AVE NE,98105
1274677.42661102,243209.243037522,2644,351315,0000000,350,Campus Corner Cafe,Campus Corner Cafe,4100 ROOSEVELT WAY NE #B,98105
1268695.65314153,225743.698572353,2645,351318,0000000,350,Can Can,Can Can,94 PIKE ST,98101
1322857.71115577,133160.608804524,2646,351339,0000000,350,Carl'S Jr,Carl'S Jr,17029 SE 272ND ST,98042
1290036.81288694,279413.254946932,2647,1668,150168,510,Kenmore Air Harbor Inc,Kenmore Air Harbor Inc,6321 NE 175th,98028
1321477.72802337,203652.625956684,2648,6002998,0000000,600,Lewis Creek Park,Lewis Creek Park,7031 148 Ave NE,00000
1268649.85697328,164785.961564183,2649,2238,592768,530,Manhattan QFC,Manhattan QFC,17847 1st Ave S,98148
1288639.22381862,172214.511995777,2650,2639,607737,61,Tukwila Municipal Court,Tukwila Municipal Court,6200 Southcenter Blvd,98188
1277267.12484369,164841.452923015,2651,650021,894588,65,Port of Seattle Police,Port of Sea PD,17801 International Blvd,98158
1285144.39386602,247004.91654852,2652,902069,344852,902,Cycle University-Sand Point,Cycle University,5440 Sand Point Way NE,98105
1266691.08005095,255802.450134516,2653,902030,256876,902,Pedal Dynamics,Pedal Dynamics,8520 Evanston Ave N,98103
1276937.71999069,165288.963510931,2654,352093,0000000,350,Dish D'Lish,Dish D'Lish,SEATAC INTL AIRPORT HWY,98158
1326731.0531466,245779.490521684,2655,351124,0000000,350,Buns @ Route 425-218-9791,Buns,6855 176TH AVE NE #270,98052
1263490.60810544,193866.740344778,2656,351126,0000000,350,Burger Boss,Burger Boss,9061 DELRIDGE WAY SW,98106
1315663.24424553,277564.682856694,2657,351679,0000000,350,Clay Oven,Clay Oven,17311 140TH AVE NE,98072
1274823.01326211,204979.683341935,2658,351680,0000000,350,Cleveland High School,Cleveland High School,5511 15TH AVE S,98108
1267605.56969178,227568.28678669,2659,351681,0000000,350,Clever Bottle,Clever Bottle,2222 2nd AVE #100,98121
1272339.38699578,228973.131746024,2660,351682,0000000,350,Clever Dunnes,Clever Dunne'S,1501 E OLIVE WAY,98122
1265413.64362945,227673.677652016,2661,351683,0000000,350,Clipper Cafe,Clipper Cafe,2711 ALASKAN WAY PIER 69,98121
1294343.98635919,139537.324725598,2662,351684,0000000,350,Cloud 9,Cloud 9,806 S CENTRAL AVE,98032
1274814.13204627,256061.240299359,2663,351685,0000000,350,Cloud City Coffee,Cloud City Coffee,8801 ROOSEVELT WAY NE,98115
1274814.13204627,256061.240299359,2664,351686,0000000,350,Cloud City Coffee Sand Point,Cloud City Coffee,8801 ROOSEVELT WAY NE,98115
1268585.24325736,277761.053198859,2665,351688,0000000,350,Club Hollywood Casino,Club Hollywood Casino,16716 AURORA AVE N,98133
1276970.69105336,163515.251179099,2666,351689,0000000,350,Club International,Club International,17801 PACIFIC HWY S,98158
1301978.14727195,138739.720677763,2667,351691,0000000,350,Clubhouse Sportsbar  & Grill,Clubhouse  Sportbar & Grill,10432 SE KENT KANGLEY RD B,98030
1264704.5118456,231998.892426774,2668,902017,453008,902,Counterbalance Bicycles-Queen Anne,Counterbalance Bicycles,2 W Roy,98119
1275931.12653144,246974.050796598,2669,902018,840607,902,Downhill Zone,Downhill Zone,5236 University Way NE,98105
1260785.7759167,244956.27399227,2670,902057,840132,902,Dutch Bike Shop,Dutch Bike Shop,4421 Shilshole Ave NW,98107
1321376.31812119,280659.026733607,2671,902054,15606,902,Eastside Ski and Sport,Eastside Ski and Sport,15606 NE Woodinville-Duvall Rd,98072
1259687.38605312,246048.717345431,2672,902071,314906,902,Electric Bikes Northwest,Electric Bike Northwest,4810 17th Ave NW,98107
1267589.07398985,226828.211495191,2673,902019,840867,902,Elliott Bay Bicycles,Elliott Bay Bicycles,2116 Western Ave,98121
1322657.68399678,248536.159549028,2674,902021,366885,902,Gerks Alpine Hut,Gerks Alpine Hut,7875 Leary Way NE,98052
1303493.85388619,225760.784496188,2675,902022,881150,902,Greggs Bellevue Cycle,Greggs Bellevue Cycle,121 106th Ave NE,98004
1263016.65596935,255268.718590438,2676,902075,314359,902,JRA Bike Shop,JRA Bike Shop,8310 8th Ave NW,98117
1308259.02316161,145441.872955859,2677,902025,627391,902,Kent Cyclery,Kent Cyclery,12439 SE 235th,98031
1266904.75711702,240809.801970273,2678,2315,915445,600,A. B. Ernst Park,A B Ernst Park,723 N 35th St,98103
1297151.96138628,164158.614721775,2679,350233,0000000,350,Aloha Grill,Aloha Grill,210 SW 43RD ST,98057
1277023.61975327,245276.77531977,2680,350241,0000000,350,Alpha Delta Pi,Alpha Delta Pi,1805 NE 47TH ST,98105
1266895.99991669,242098.578264102,2681,660041,319994,66,Station 9,9,3829 Linden Ave N,98103
1257166.98591019,234638.50394544,2682,1380,0000000,600,Smith Cove Park,Smith Cove Park,W Marina Pl & 21st Ave W,98119
1293368.82590795,216766.270004943,2683,6005093,0000000,600,North Mercerdale Hillside,North Mercerdale Hillside,2161 E Hamlin St,00000
1256996.29629093,209694.752323851,2684,2452,464596,64,West Seattle Post Office,West Seattle Post Office,4412 California Ave SW,98116
1309611.78325136,259525.83868511,2685,352065,0000000,350,Diedrich Espresso,Diedrich Espresso,12235 NE 116TH ST,98033
1296070.7306091,101291.834615692,2686,350441,0000000,350,Auburn Riverside Senior Hs,Auburn Riverside Hs,501 ORAVTZ RD,98092
1321092.4151457,250706.857963517,2687,6002713,0000000,600,Redmond Muncipal Campus,Redmond Muncipal Campus,212th Ave SE and SE 13th Pl,00000
1275395.57674952,241201.09154202,2688,350141,0000000,350,Agua Verde Cafe,Agua Verde Cafe,1303 NE BOAT ST,98105
1299152.58829053,122305.656105027,2689,40,0000000,600,Dykstra Park,Dykstra Park,J Reddington Rd & 22nd St NE,98002
1266054.99995828,234568.000149444,2690,926,412420,660,John Hay Elementary School,John Hay,201 Garfield St,98109
1309417.03987443,126075.327043355,2691,6002365,0000000,600,East Auburn Athletic Fields,East Auburn Athletic Fields,SE 294th St and 132nd Ave SE,98092
1281588.25005969,208059.187353522,2692,6007198,920034,600,Rainier Playfield,Rainier Playfield,3700 S Alaska St,98118
1273900.00001627,249709.478068516,2693,6007097,0000000,600,Ravenna Boulevard,Ravenna Boulevard,NE Ravenna Blvd to E Green Lake Way N,00000
1280437.96102169,231464.834111691,2694,6007220,0000000,600,3001 E Madison,3001 E Madison,3001 E Madison,98112
1253928.60196702,217745.708990932,2695,2199,0000000,600,Alki Beach Park,Alki Beach Park,1702 Alki Ave SW,98116
1309373.43136586,134004.503770277,2696,351013,0000000,350,Boonmar Pho & Thai Cuisine,Boonmar Pho & Thai Cuisine,12912 SE KENT KANGLEY RD,98030
1259093.61689945,208888.862531438,2697,6007632,468599,600,West Seattle and Fauntleroy YMCA,West Seattle Y,4515 36th Ave SW,98126
1274958.98215027,233458.441016853,2698,837,414170,600,Volunteer Park,Volunteer Park,1554 15th Ave E,98112
1270113.18803611,226320.410017356,2699,1875,438355,60,U S Bank Bldg,U.S. Bank Bldg,1415 5th Ave,98101
1287867.87595186,190873.971067861,2700,1034,0000000,600,Fred Hutchinson Playground,Fred Hutchinson Playground,S Pilgram St & 59th Ave S,98118
1318567.22006486,179947.342986777,2701,6002952,0000000,600,Cedar River to Lake Sammamish Trail Site,Cedar River to Lake Sammamish Trail Sit,156th and 128th SE,98055
1291541.13500953,113714.279915109,2702,6002966,0000000,600,Interurban Trail Site - Auburn,Interurban Trail Site - Auburn,76th Ave S and S 277th St to 17th St SW and Industry Dr SW,98001
1267031.31887178,190105.789861441,2703,1205,0000000,600,White Center Heights Park,White Center Heights Park,8th Ave SW & SW 102nd St,98146
1265126.38436145,190176.142082945,2704,6002560,744749,600,Steve Cox Memorial Park,Steve Cox Memorial Park,1321 SW 102nd St,98146
1267441.45190978,185948.1748171,2705,6002869,527656,600,Evergreen Pool Site,Evergreen Pool Site,606 SW 116th St,98146
1270477.00489378,163276.028888524,2706,6007593,0000000,600,Manhattan School Park,Manhattan School Park,440 S 185th Street,98148
1280688.14588878,223250.905001521,2707,6007171,943386,600,Peppis Playground,Peppis Playground,3233 E Spruce St,98122
1272607.49111836,222543.691849023,2708,864,0000000,600,Kobe Terrace,Kobe Terrace Park,S Main St & 7th Ave S,98104
1272305.08293052,221922.549062431,2709,861,0000000,600,Hing Hay Park,Hing Hay Park,Maynard Ave S & King St,98104
1275768.37095144,210498.678865597,2710,6007064,0000000,600,Jefferson Park,Jefferson Park,4165 16th Ave S,98144
1276032.05185452,204966.063946605,2711,6007197,0000000,600,Maple School Ravine,Maple School Ravine,Graham S and S 21st St,98108
1345732.8379776,209759.169845939,2712,6002958,0000000,600,East Plateau Trail Site,East Plateau Trail Site,216th Ave SE and SE 43rd Way to SE Klahanie Blvd and Issaqu,98029
1272197.59364419,228961.906046689,2713,351906,0000000,350,Crumble & Flake,Crumble And Flake,1500 E OLIVE WAY,98122
1316622.95000328,232357.388100848,2714,351925,0000000,350,Curry Point 2 Go,Curry Point 2 Go,14510 NE 20TH ST,98007
1277317.39114736,244756.966648102,2715,350244,0000000,350,Alpha Omicron Pi,Alpha Omicron Pi,1906 NE 45TH ST,98105
1265999.72546253,175515.294436187,2716,351937,0000000,350,Cynthia'S Polynesian Market,Cynthia'S Polynesian Market,14631 AMBAUM BL SW,98166
1303937.11513877,197749.181070685,2717,352039,0000000,350,"Denny'S; Inc. #7874","Denny'S; Inc. #7874",4750 LAKE WASHINGTON BL NE,98056
1270692.12552652,225988.700050861,2718,352079,0000000,350,Dimples,Dimples,600 UNIVERSITY ST,98101
1269576.64613019,226501.822384194,2719,352110,0000000,350,Dog In The Park,Dog In The Park,1520 4TH AVE,98101
1278583.44045253,162180.892955437,2720,352167,0000000,350,Double Tree - Espresso Bar,Doubletree Hotel Seattle,18740 PACIFIC HWY S,98188
1270353.40901236,227198.584114015,2721,352181,0000000,350,Dragonfish Asian Cafe,Dragonfish Asian Cafe,722 PINE ST,98101
1343247.43415578,195880.133955777,2722,352288,0000000,350,El 42 Cantina,El 42 Cantina,38 FRONT ST N,98027
1293734.78383744,143204.788519263,2723,580036,1005575,580,Kent Station TC with bicycle lockers,Kent Station TC,301 Railroad Ave N,98032
1309311.02991585,232715.820126772,2724,30006,984019,30,Evans Heliport ,Evans,12328 Northupway,98005
1269795.37502344,215855.249845356,2725,1849,0000000,690,Starbucks Center,Starbucks Center,2401 Utah St,98134
1294105.67285945,143926.54494977,2726,350502,0000000,350,Bad Monkey Bar & Grill,Bad Monkey Bar & Grill,623 CENTRAL AVE S,98032
1265997.55387895,227064.84291169,2727,1572,442639,360,Edgewater Inn,Edgewater Inn,Alaskan Way & Wall Street,98121
1510644.07409936,259225.706083268,2728,1889,72386,390,Skykomish Library,Skykomish Lib,100 5th St N,98288
1265861.37501743,255690.232839271,2729,841,274444,210,Department of Licensing-Greenwood,DOL - Greenwood,N 85th St & Greenwood Ave N,98103
1269637.70112619,227126.425137609,2730,1702,834695,60,Medical Dental Bldg,Medical Dental Bldg,509 Olive Way,98101
1257377.87492411,208524.405911267,2731,2203,0000000,690,Jefferson Square,Jefferson Square,SW Alaska St & 42nd Ave SW,98116
1279916.75012186,173662.093746275,2732,660017,400159,66,Station 47,47,3215 S 152nd St,98168
1304974.99987403,281006.968623027,2733,660024,177502,66,Station 42,42,10726 Beardslee Blvd,98011
1405078.97650294,182371.723636687,2734,660025,988637,66,Station 87,87,112 W 2nd St,98045
1410177.75009802,163667.515638351,2735,660026,22635,66,Station 88,88,43204 SE 172nd St,98045
1320197.07310435,229450.967076436,2736,650031,767827,65,Crossroads Police Substation,Crossroads,15600 NE 8th St,98007
1260244.25009686,256696.812519014,2737,660144,252183,66,Station 35,35,8729 15th Ave NW,98117
1267385.62492169,281950.093705267,2738,660151,888157,66,Station 64,64,719 N 185th St,98133
1329961.75009727,244945.921978861,2739,660039,366703,66,Station 16,16,6502 185th Ave NE,98052
1265191.12504561,233987.21883069,2740,660040,414203,66,Station 8,8,110 Lee St,98109
1274431.91496295,227832.683895692,2741,650066,453753,65,Seattle Police East Precinct,SPD East Precinct,1519 12th Ave,98122
1268537.75910036,224496.730921939,2742,6300008,835913,630,"Piers 56,57-Tridents, Harbor Tours","Piers 56,57 - Tridents, Harbor Tours",1201 Alaskan Way,98101
1256607.89385253,202359.061942771,2743,5400007,775357,530,Olsens Valu-Rite Drugs,Olsen's Valu-Rite Drugs,6521 California Ave SW,98136
1315338.25014485,116504.726433933,2744,660129,716914,66,Station 95,95,32316 148th Ave SE,98092
1259285.08600469,198435.602598101,2745,660146,477688,66,Station 37,37,7700 35th Ave SW,98126
1301589.50008336,256748.078164518,2746,660153,28636,66,Station 21,21,9816 Forbes Creek Dr,98033
1310018.12495835,254282.703174025,2747,660157,29938,66,Station 26,26,9930 124th Ave NE,98033
1306108.24990411,265163.937645108,2748,660158,168459,66,Station 27,27,11210 NE 132nd St,98034
